"organism_biosamp","somePopsFWorBrackish","isInvasiveRange","isMaybeHybrid","DiffbyDepthSuspected","isAdultBenthicMarine","isNektonSometimes","PLD_point","PLD_Min","PLD_Max","PLD_point2","isPlanktonic_atanypoint","Spawning_mode","Larval_feeding","Large_Adult_Range","ReturnToSpawningGround","Fecundity_EggsFemaleSpawn","Fecundity_SpawnFrequency","Fecundity_EggSize","Body_Size","Reproductive_Age","Generational_Structure","Asexual_Stage","Census_Size","Genome_Size_MB","Genome_Size_picoGrams","Coded_longevity","LogEgg"
"Acanthephyra purpurea","F","F","F","F","F","T",NA,NA,NA,NA,"T","I","P","T","F",944,NA,"1",10,10,"I","F",NA,NA,NA,"3","0.301029995663981"
"Acanthurus olivaceus","F","F","F","F","T","F","60.8","40","70","60.8","T","F","P","F","F",37500,365,"0.75",35,35,"I","F",NA,NA,NA,"35","0.243038048686294"
"Acropora cervicornis","F","F","F","T","T","F","10","7","70","10","T","F","L","F","F",16820,1.5,"0.65",98,98,"I","T",NA,"384-447",NA,"99","0.217483944213906"
"Acropora millepora","F","F","F","T","T","F","10","3","93","10","T","F","L","F","F",5200,1.5,"0.65",19,19,"I","T",NA,"384-447",NA,"99","0.217483944213906"
"Acropora palmata","F","F","F","T","T","F","10","7","70","10","T","F","L","F","F",NA,1.5,"0.561",160,160,"I","T",NA,"384-447",NA,"99","0.193402903062417"
"Acropora prolifera","F","F","T","T","T","F","10","7","70","10","T","F","L","F","F",NA,1.5,"0.65",120,120,"I","T",NA,"384-447",NA,"99","0.217483944213906"
"Agaricia fragilis","F","F","T","T","T","F","10","7","14","10","T","F","L","F","F",NA,NA,"0.4",4.74,4.74,"I","T",NA,NA,NA,"99","0.146128035678238"
"Agaricia undata","F","F","F","T","T","F","10","7","14","10","T","F","L","F","F",NA,NA,"0.4",150,150,"I","T",NA,NA,NA,"99","0.146128035678238"
"Amphiprion bicinctus","F","F","F","F","T","F","11",NA,NA,"11","T","N","P","F","F",900,365,"3",14,14,"I","F",NA,NA,NA,"20","0.602059991327962"
"Amphiprion clarkii","F","F","F","F","T","F","8.8","7","11","8.8","T","N","P","F","F",500,24,"2.35",15,15,"I",NA,NA,NA,NA,"13","0.525044807036845"
"Anguilla anguilla","T","F","F","F","T","F","198","163","235","198","T","F","P","T","T",2500000,1,"1.3",145,145,"S","F",NA,NA,NA,"33","0.361727836017593"
"Anguilla rostrata","T","F","F","F","T","F","156","132","191","156","T","F","P","T","T",2500000,1,"1",120,120,"S","F",NA,NA,NA,"43","0.301029995663981"
"Anthopleura elegantissima","T","F","F","F","F","F","28",NA,NA,"28","T","F","P","F","F",NA,NA,"0.15",8,8,"I","T",NA,NA,NA,"99","0.0606978403536116"
"Apostichopus californicus","F","F","F","F","T","F","60","49","91","60","T","F","P","F","F",NA,NA,"0.2",50,50,"I","F",NA,NA,NA,NA,"0.0791812460476248"
"Aptenodytes patagonicus","F","F","F","F","F","T","0","0","0","0","F","N","N","F","T",1,0.5,"100",100,100,"I","F","2200000",NA,NA,"18","2.00432137378264"
"Arctocephalus forsteri","F","F","F","F","F","T","0","0","0","0","F","I","N","F","T",1,1,NA,200,200,"I","F","1e+05",NA,NA,"10",NA
"Aythya marila","T","F","F","F","F","F","0","0","0","0","F","N","N","F","T",9,1,"100",56,56,"I","F","5e+06",NA,NA,"8","2.00432137378264"
"Bartholomea annulata","F","F","F","F","T","F",NA,NA,NA,NA,"T","F","L","F","F",NA,NA,"0.2",30,30,"S","F",NA,NA,NA,"1.5","0.0791812460476248"
"Bathygobius cocosensis","F","F","F","F","T","F",NA,"20","25","22.5","T","N","P","F","F",7833.5,1,"0.34",4,4,"I","F",NA,NA,NA,"1","0.127104798364808"
"Bathymodiolus platifrons","F","F","F","F","T","F","135","135","365","135","T","F","P","F","F",NA,NA,"0.07",10,10,"I","F",NA,"1640",NA,NA,"0.0293837776852097"
"Bathyraja aleutica","F","F","F","F","T","T","0","0","0","0","F","N","N","T","T",14,365,"128",161,161,"I","F",NA,NA,NA,"17.5","2.11058971029925"
"Bathyraja panthera","F","F","F","F","T","T","0","0","0","0","F","N","N","T",NA,11,365,"98",111,111,"I","F",NA,NA,NA,"27","1.99563519459755"
"Bathyraja parmifera","F","F","F","F","T","T","0","0","0","0","F","N","N","T",NA,11,365,"122",107,107,"I","F",NA,NA,NA,"19","2.0899051114394"
"Callinectes sapidus","T","F","F","F","T","F","50","35","70","50","T","I","P","F","F",3200000,NA,"0.26",20,20,"I",NA,NA,"985","2.35",NA,"0.100370545117563"
"Caretta caretta","F","F","F","F","F","T","0","0","0","0","F","N","N","F","T",112,2.5,"40",95,95,"I","F","36000",NA,NA,"80","1.61278385671974"
"Chlorostoma funebralis","F","F","F","F","T","F","6","5","13","6","T","F","P","T","F",50,NA,"0.16",5,5,"I",NA,NA,NA,NA,NA,"0.0644579892269184"
"Coryphaenoides rupestris","F","F","F","T","F","T",NA,"180","210","195","T","F","P","T","F",69000,365,"2.4",110,110,"I","F",NA,NA,NA,"57","0.531478917042255"
"Cranchia scabra","F","F","F","F","F","T","119","72","166","119","T","F","P","T",NA,NA,NA,NA,15,15,"S","F",NA,NA,NA,NA,NA
"Ctenolabrus rupestris","F","T","F","F","T","F","20.9","18","28","20.9","T","F","P","F","F",160631,20000,"0.86",18,18,"I","F",NA,NA,NA,"20","0.269512944217916"
"Dascyllus trimaculatus","F","F","F","F","T","F","24","21","28","24","T","N","P","F","F",10150,365,"2.1",14,14,"I","F",NA,NA,NA,"5","0.491361693834273"
"Delphinapterus leucas","F","F","F","F","F","T","0","0","0","0","F","I","N","F","T",1,0.33,"0",550,550,"I","F","130000",NA,"3.29","70","0"
"Ectopleura larynx","F","F","T","F","T","F","0","0","0","0","T","F","P","F","F",NA,NA,NA,6,6,"I","T",NA,NA,NA,NA,NA
"Engraulis encrasicolus","T","F","F","F","F","T","100",NA,NA,"100","T","F","P","T","F",226500,365,"1.5",21,21,"I","F",NA,NA,NA,"4","0.397940008672038"
"Eudyptes chrysolophus","F","F","F","F","F","T","0","0","0","0","F","N","N","T","T",2,1,"80",60,60,"I","F","6300000",NA,NA,"12","1.90848501887865"
"Eukrohnia hamata","F","F","F","F","F","F","730",NA,NA,"730","T","F","P","T","F",308,NA,NA,3,3,"I","F",NA,NA,NA,NA,NA
"Exaiptasia pallida","F","F","F","F","T","F","35","30","40","35","T","F","P","F","F",1000,NA,"0.09",2.5,2.5,"I","T",NA,NA,NA,NA,"0.0374264979406237"
"Fibramia amboinensis","T","F","F","F","T","F","0","0",NA,"0","F","I","P","T","F",NA,NA,NA,7,7,"I","F",NA,NA,NA,NA,NA
"Fucus vesiculosus","F","F","F","F","T","F","1",NA,NA,"1","F","F","P","F","F",NA,NA,"0.067",150,150,"I","T",NA,NA,NA,NA,"0.0281644194244699"
"Fundulus grandis","T","F","F","F","F","T","17.5",NA,NA,"17.5","F","I","N","T","F",80,365,"2",18,18,"I","F",NA,NA,NA,"1","0.477121254719662"
"Fundulus heteroclitus","T","F","F","F","F","T","25","20","50","25","F","I","N","T","F",200,365,"2",15,15,"I","F",NA,NA,NA,"4","0.477121254719662"
"Gadus macrocephalus","F","F","F","F","F","T",NA,"45","60","52.5","T","F","P","T","F",3630000,1,"1.1",122,122,"I",NA,NA,NA,NA,"25","0.322219294733919"
"Gadus morhua","F","F","F","T","F","T","55","90","110","55","T","F","P","T","T",3772791,NA,"1.52",200,200,"I",NA,NA,NA,"0.93","25","0.401400540781544"
"Galaxea fascicularis","F","F","F","T","T","F","3","3","5","3","T","F","L","F","F",NA,NA,"0.45",500,500,"I","T",NA,NA,NA,"99","0.161368002234975"
"Galaxea horrescens","F","F","F","T","T","F",NA,NA,NA,NA,"T","I","P","F","F",NA,NA,"0.45",500,500,"I","T",NA,NA,NA,"99","0.161368002234975"
"Galaxias maculatus","T","F","F","F","F","T",NA,"120","180","150","T","N","P","T","F",NA,1,"1",12,12,"S","F",NA,NA,NA,"1","0.301029995663981"
"Gasterosteus aculeatus","T","F","F","F","F","T","6",NA,NA,"6","T","N","P","F","F",125,1,"1.4",5.1,5.1,"I","F",NA,NA,NA,"8","0.380211241711606"
"Holacanthus passer","F","F","F","F","F","T","25",NA,NA,"25","T","F","P","F","F",505,365,NA,36,36,"I",NA,NA,NA,NA,NA,NA
"Homarus americanus","F","F","F","F","T","F","12","8","16","12","T","I","P","F","F",10000,1,"2",64,64,"I","F",NA,"2290",NA,"20","0.477121254719662"
"Idotea baltica","F","F","F","F","T","F","0","0","0","0","F","I","N","F","F",100,NA,"0.5",2,2,"I","F",NA,NA,NA,"1","0.176091259055681"
"Isocladus armatus","F","F","F","F","T","F","0","0","0","0","F","I","N","F","F",100,NA,NA,1.5,1.5,"I","F",NA,NA,NA,NA,NA
"Istiblennius lineatus","F","F","F","F","T","F",NA,"23","71","47","T","N","P","F","F",NA,NA,NA,15,15,"I",NA,NA,NA,NA,NA,NA
"Lagenorhynchus acutus","F","F","F","F","F","T","0","0","0","0","F","I","N","F","F",1,0.5,"0",300,300,"I","F","3e+05",NA,NA,"27",NA
"Lagenorhynchus albirostris","F","F","F","F","F","T","0","0","0","0","F","I","N","F","F",1,0.5,"0",300,300,"I","F","1e+05",NA,NA,"27",NA
"Laguncularia racemosa","T","F","F","F","F","F",NA,NA,NA,NA,"F","F","N","F","F",NA,NA,NA,93.1,93.1,"I",NA,NA,NA,NA,NA,NA
"Larimichthys polyactis","T","F","F","F","F","T","66",NA,NA,"66","T","F","P","F","F",62853.5,NA,"1.1",26,26,"I",NA,NA,NA,NA,"23","0.322219294733919"
"Lateolabrax maculatus","T","F","F","F","F","T",NA,"49","70","59.5","T","F","P","T","F",9850000,NA,"0.4",102,102,"I",NA,NA,NA,NA,NA,"0.146128035678238"
"Leptopsammia pruvoti","F","F","F","T","T","F",NA,NA,NA,NA,"T","I","L","F","F",105,1,"0.68",0.6,0.6,"I","F",NA,NA,NA,"13","0.225309281725863"
"Lutjanus campechanus","F","F","F","F","F","T",NA,"21","47","34","T","F","P",NA,"F",22992458,NA,"0.258151933",100,100,"I",NA,NA,NA,NA,"57","0.0997330891850072"
"Lutjanus fulvus","T","F","F","F","F","T",NA,"21","47","34","T","F","P","F","F",32000,NA,"0.8",40,40,"I",NA,NA,NA,NA,"34","0.255272505103306"
"Mallotus villosus","F","F","F","F","F","T","365",NA,NA,"365","T","F","P","T","T",10428,NA,"0.75",25,25,"S",NA,NA,NA,NA,"5.5","0.243038048686294"
"Montipora capitata","F","F","F","T","T","F",NA,NA,NA,NA,"T","F","P","F","F",15,3,"0.39",20,20,"I","T",NA,NA,NA,"99","0.143014800254095"
"Mytilus galloprovincialis","T","F","F","F","T","F","28","21","35","28","T","F","P","F","F",1e+09,NA,"0.07",14,14,"I","F",NA,"1600-1900",NA,"10","0.0293837776852097"
"Nautilus pompilius","F","F","F","F","F","T","0",NA,NA,"0","F","N","N","T",NA,44489,1,"26",25,25,"I",NA,NA,NA,NA,"20","1.43136376415899"
"Nymphon australe","F","F","F","F","T","F","0",NA,NA,"0","F","I","N","F","F",NA,NA,"0.5",3,3,"I",NA,NA,NA,NA,NA,"0.176091259055681"
"Oculina patagonica","F","T","F","F","T","F",NA,NA,NA,NA,"T","F","L","F","F",25,1,"0.1",65,65,"I","T",NA,NA,NA,"99","0.0413926851582251"
"Orbicella faveolata","F","F","F","T","T","F","20","3","120","20","T","F","L","F","F",100,1,"0.25",83,83,"I","T",NA,NA,NA,"99","0.0969100130080564"
"Ostrea lurida","T","F","F","F","T","F",NA,NA,NA,NA,"T","I","P","F","F",34500000,NA,"0.1",3.5,3.5,"I",NA,NA,NA,NA,NA,"0.0413926851582251"
"Paracentrotus lividus","F","F","F","F","T","F",NA,"20","40","30","T","F","P","F","F",3e+06,1,"66",7.5,7.5,"I","F",NA,NA,"0.54",NA,"1.82607480270083"
"Paracirrhites forsteri","F","F","F","F","T","F",NA,"48","73","60.5","T","F","P","F","T",NA,NA,NA,22,22,"I",NA,NA,NA,NA,NA,NA
"Paralichthys dentatus","T","F","F","F","T","T","24",NA,NA,"24","T","F","P","T","T",23150000,NA,"0.82",94,94,"I",NA,NA,NA,NA,"9","0.260071387985075"
"Penaeus duorarum","T","F","F","F","T","F","15","15","30","15","T","I","P","T","T",2e+05,1,"0.3",280,280,"I","F",NA,NA,"3","1.5","0.113943352306837"
"Halichoerus grypus atlantica","F","F","F","F","F","F","0","0","0","0","F","I","N","T","T",1,1,"0",200,200,"I","F","316000",NA,NA,"30","0"
"Phocoena phocoena","T","F","F","F","F","T","0","0","0","0","F","I","N","F","F",1,1,"0",190,190,"I","F","1e+06",NA,NA,"12","0"
"Phocoena sinus","F","F","F","F","F","T","0","0","0","0","F","I","N","F","F",1,1,"0",150,150,"I","F","18",NA,NA,"20","0"
"Pisaster ochraceus","F","F","F","F","T","F",NA,"76","226","151","T","F","P","F","F",1e+07,1,"0.15",25,25,"I","T",NA,"400",NA,"10","0.0606978403536116"
"Planes minutus","F","F","F","F","F","F",NA,NA,NA,NA,"T","I","P","T","F",NA,NA,NA,1,1,"I","F",NA,NA,NA,NA,NA
"Platichthys flesus","T","F","F","F","T","T","29",NA,NA,"29","T","F","P","T","T",1177674,NA,"0.95",60,60,"I",NA,NA,NA,NA,"15","0.290034611362518"
"Pocillopora damicornis","F","F","F","T","T","F",NA,NA,NA,NA,"T","F","P","F","F",20000,2,"0.11",10,10,"I","T",NA,NA,NA,"99","0.0453229787866575"
"Poecilia latipinna","T","T","F","F","F","F",NA,NA,NA,NA,"F","I","N","F","F",75,NA,NA,15,15,"I",NA,NA,NA,NA,NA,NA
"Pomacanthus maculosus","F","F","F","F","F","T",NA,"20","24","22","T","F","P","F","F",230000,NA,"0.61",50,50,"I",NA,NA,NA,NA,NA,"0.20682587603185"
"Porites astreoides","F","F","F","T","T","F","10","3","30","10","T","I","P","F","F",NA,NA,"0.2",55,55,"I","T",NA,NA,NA,"99","0.0791812460476248"
"Porites compressa","F","F","F","T","T","F",NA,NA,NA,NA,"T","F","P","F","F",NA,2,"0.13",123,123,"I","T",NA,NA,NA,"99","0.0530784434834197"
"Pygoscelis adeliae","F","F","F","F","F","T","0","0","0","0","F","N","N","T","T",2,1,"80",70,70,"I","F","1e+07",NA,NA,"12","1.90848501887865"
"Pygoscelis antarcticus","F","F","F","F","F","T","0","0","0","0","F","N","N","T","T",2,1,"80",75,75,"I","F","8e+06",NA,NA,"9","1.90848501887865"
"Pygoscelis papua","F","F","F","F","F","T","0","0","0","0","F","N","N","T","T",2,1,"80",90,90,"I","F","774000",NA,NA,"12","1.90848501887865"
"Pyroteuthis margaritifera","F","F","F","F","F","T",NA,NA,NA,NA,"T","I","P","F",NA,NA,NA,"1.15",3,3,"S",NA,NA,NA,NA,NA,"0.332438459915605"
"Rhizophora mangle","T","F","F","F","F","F",NA,"0","365","182.5","F","I","L","T","F",NA,NA,NA,2400,2400,"I",NA,NA,NA,NA,NA,NA
"Robustosergia robusta","F","F","F","F","F","T",NA,NA,NA,NA,"T","I","P","T",NA,NA,1,NA,0.5,0.5,"S","F",NA,NA,NA,"15",NA
"Sargassum muticum","F","T","F","F","T","F",NA,NA,NA,NA,"T","F","N","T","F",NA,NA,NA,1600,1600,"I",NA,NA,NA,NA,NA,NA
"Scomber scombrus","T","F","F","F","F","T",NA,NA,NA,NA,"T","F","P","T","T",598563,NA,"1.15",50,50,"I",NA,NA,NA,NA,"21","0.332438459915605"
"Sebastes diaconus","F","F","T","T","F","F",NA,"90","180","135","T","I","P","F","F",NA,NA,NA,33,33,"I",NA,NA,NA,NA,NA,NA
"Sebastes paucispinis","F","F","T","T","F","F",NA,"90","180","135","T","I","P","F","F",NA,NA,NA,91,91,"I",NA,NA,NA,NA,"50",NA
"Sebastes pinniger","F","F","T","T","F","F",NA,"90","180","135","T","I","P","F","F",NA,NA,NA,76,76,"I",NA,NA,NA,NA,"84",NA
"Sebastes rastrelliger","F","F","T","T","F","F",NA,"90","180","135","T","I","P","F","F",NA,NA,NA,56,56,"I",NA,NA,NA,NA,"23",NA
"Sebastes ruberrimus","F","F","T","T","F","F",NA,"90","180","135","T","I","P","F","F",NA,NA,NA,104,104,"I",NA,NA,NA,NA,"118",NA
"Sebastiscus marmoratus","F","F","F","F","T","F",NA,"90","180","135","T","I","P","F","F",NA,2,NA,36,36,"I",NA,NA,NA,NA,NA,NA
"Seriola dorsalis","F","F","F","F","F","T",NA,NA,NA,NA,"T","F","P","T","F",376620,NA,"1.4",250,250,"I",NA,NA,NA,NA,NA,"0.380211241711606"
"Siphamia tubifer","F","F","F","F","F","F","30",NA,NA,"30","T","I","P","F","F",650,NA,"0.76",4.35,4.35,"I",NA,NA,NA,NA,NA,"0.24551266781415"
"Sphyrna tiburo","T","F","F","F","F","T","0","0","0","0","F","I","N","T","T",9,NA,NA,150,150,"I",NA,NA,NA,NA,"12",NA
"Stegastes beebei","F","F","F","F","F","F","31.2",NA,NA,"31.2","T","N","P","F","F",NA,NA,NA,15,15,"I",NA,NA,NA,NA,NA,NA
"Stegastes leucorus","F","F","F","F","F","F","31.7",NA,NA,"31.7","T","N","P","F","F",NA,NA,NA,14,14,"I",NA,NA,NA,NA,"19",NA
"Stephanocoenia intersepta","F","F","F","T","T","F",NA,NA,NA,NA,"T","F","L","F","F",64.5,2,"0.32",60,60,"I","T",NA,NA,NA,"99","0.12057393120585"
"Strombus pugilis","F","F","F","F","T","F","29","27","31","29","T","N","P","F","F",1000,NA,"0.2",11,11,"I","F",NA,"623",NA,NA,"0.0791812460476248"
"Symphodus melops","F","F","F","F","T","F","15","15","15","15","T","F","P","F","F",160631,NA,"0.9",28,28,"I",NA,NA,NA,NA,"9","0.278753600952829"
"Symphodus tinca","F","F","F","F","T","F","10.8","9","13","10.8","T","N","P","F","F",NA,NA,"0.23",40,40,"I",NA,NA,NA,NA,"15","0.0899051114393979"
"Systellaspis debilis","F","F","F","F","F","T","28","27","29","28","T","I","L","F","F",10,NA,"3.6",1.5,1.5,"I","F",NA,NA,NA,NA,"0.662757831681574"
"Thunnus thynnus","F","F","F","F","F","T","15",NA,NA,"15","T","F","P","T","T",36500000,365,"1",458,458,"I",NA,NA,NA,NA,"32","0.301029995663981"
"Trachidermus fasciatus","F","F","F","F","T","F","27",NA,NA,"27","T","N","P","T","F",6000,NA,"2.1",14,14,"I",NA,NA,NA,NA,NA,"0.491361693834273"
"Uria aalge","F","F","F","F","F","F","0","0","0","0","F","N","N","T","T",1,1,"80",45,45,"I","F","1.8e+07",NA,NA,"20","1.90848501887865"
"Uria lomvia","F","F","F","F","F","F","0","0","0","0","F","N","N","T","T",1,1,"80",48,48,"I","F","2.2e+07",NA,NA,"20","1.90848501887865"
"Vampyroteuthis infernalis","F","F","F","F","F","T",NA,NA,NA,NA,"T","I","P","T","F",25,NA,"3.5",20,20,"I","F",NA,NA,NA,"8","0.653212513775344"
"Zalophus wollebaeki","F","F","F","F","F","T","0","0","0","0","F","I","N","T","T",1,1,"0",250,250,"I","F","10000",NA,NA,"20","0"
"Zebrasoma flavescens","F","F","F","F","F","T","70","58","85","70","T","F","P","F","F",12022,365,"0.75",20,20,"I",NA,NA,NA,NA,NA,"0.243038048686294"
"Zebrasoma scopas","F","F","F","F","F","T","60",NA,NA,"60","T","F","P","F","F",NA,NA,"0.63",40,40,"I",NA,NA,NA,NA,NA,"0.212187604403958"
"Zenarchopterus dunckeri","T","F","F","F","F","T","0","0","0","0","T","I","N","T","F",NA,NA,"2",14,14,"I",NA,NA,NA,NA,NA,"0.477121254719662"
